911 2715
40 512 72
898 411 450
114 378 390
414 632 763
538 114 51
371 571 343
837 474 304
502 420 553
911 39 199
85 903 459
545 892 180
18 333 267
15 724 896
557 271 722
324 660 33
883 411 405
794 90 698
630 2 117
849 512 552
230 465 861
122 61 885
350 830 301
831 719 859
869 470 500
707 102 135
660 808 515
779 546 581
371 480 438
387 785 18
46 283 893
434 797 593
80 247 467
880 224 981
828 850 119
552 211 759
212 609 808
10 297 982
228 293 848
908 642 755
45 834 896
156 303 232
163 767 341
839 605 569
490 449 171
1 84 697
15 298 226
192 138 784
42 430 636
260 530 819
242 159 898
469 769 459
488 533 856
51 835 29
65 502 470
634 825 88
664 739 73
24 713 977
370 899 251
258 467 48
745 197 495
622 526 141
887 44 36
603 398 674
436 12 622
237 715 964
262 38 711
313 626 131
747 62 670
493 441 209
434 95 290
104 594 344
238 38 260
209 833 935
248 194 852
18 788 184
586 689 942
647 63 826
674 560 733
551 501 553
609 265 132
462 474 559
412 429 784
211 301 454
594 221 594
465 727 172
608 468 357
340 143 395
856 293 689
116 76 616
518 694 663
606 137 455
446 342 456
649 415 172
225 353 225
248 8 957
166 612 588
155 536 120
652 869 156
116 452 557
562 337 206
762 16 205
93 696 906
642 231 796
720 213 790
690 33 480
330 419 171
629 863 449
287 292 811
489 220 398
455 287 452
522 154 100
142 803 710
453 165 652
677 178 857
784 634 579
145 385 905
610 790 514
430 384 663
793 284 170
463 808 891
534 243 832
858 350 263
774 787 508
851 488 408
212 151 332
825 596 429
697 635 101
36 764 942
176 743 733
579 285 974
194 473 532
284 551 781
264 393 685
838 739 372
575 335 232
694 179 912
822 893 413
349 679 743
793 636 295
806 882 639
889 494 707
722 877 52
237 18 369
445 419 640
372 590 459
56 202 153
693 908 589
335 259 804
415 452 906
528 628 410
327 59 570
447 682 40
340 635 350
461 492 590
599 698 343
452 766 477
485 253 674
369 175 433
385 730 974
425 117 592
214 273 594
483 731 607
350 571 83
654 435 985
599 140 119
564 641 893
666 465 567
72 756 983
491 122 457
670 425 708
84 264 574
180 317 169
754 225 737
264 598 168
615 532 417
330 563 929
176 786 85
763 879 886
499 615 893
670 217 229
238 499 42
607 367 780
405 762 116
190 590 68
800 523 308
215 49 255
413 903 405
416 603 828
286 666 230
305 678 851
284 754 411
774 143 760
696 522 875
847 22 408
706 17 427
256 511 44
273 414 228
903 201 635
881 331 304
3 736 57
248 184 229
71 641 242
538 24 189
613 268 333
233 549 493
907 813 184
459 834 504
9 168 163
148 268 928
288 398 229
311 732 94
772 325 108
900 388 809
152 192 306
803 587 384
364 118 869
595 357 860
128 811 569
251 418 920
898 826 410
149 418 2
324 683 774
495 374 528
170 859 309
838 734 836
7 823 604
463 902 462
872 758 986
153 871 491
589 669 186
516 790 438
876 35 443
336 20 193
867 179 128
632 407 395
477 178 776
127 767 11
131 628 649
651 323 637
515 667 571
282 85 577
820 16 121
807 800 541
455 716 959
207 652 814
162 612 34
22 901 813
600 167 284
762 1 496
429 164 254
30 251 321
459 839 893
518 552 237
442 554 600
746 309 456
41 861 783
770 363 163
903 476 611
17 359 339
617 235 819
728 40 725
318 823 909
296 373 740
320 570 703
787 82 763
319 15 182
478 619 550
446 97 397
666 247 507
824 558 222
168 401 545
514 601 363
169 551 113
772 372 373
602 826 65
80 639 303
211 609 991
665 729 668
75 366 458
72 386 248
647 808 708
618 798 299
614 103 528
277 353 333
259 291 858
451 542 856
339 628 422
708 407 965
412 430 790
608 393 842
427 56 184
697 55 135
732 398 614
279 887 967
17 15 159
70 843 523
222 127 457
784 499 547
679 556 154
78 602 886
250 670 212
663 99 563
811 511 319
360 354 58
130 23 568
386 710 233
369 855 161
832 843 995
509 742 142
347 905 719
296 552 720
584 499 247
491 141 400
401 254 91
68 514 387
847 389 391
48 504 589
23 71 699
781 905 661
265 1 38
819 621 290
640 907 804
770 295 693
407 204 500
658 840 82
787 740 603
687 195 403
569 511 447
259 508 983
356 458 239
600 726 507
313 616 185
724 311 243
777 227 311
230 844 90
883 387 458
748 35 832
870 101 619
763 444 910
833 198 850
195 719 514
103 635 72
411 754 30
52 706 830
196 302 567
192 308 904
2 606 558
527 115 278
666 30 401
256 762 616
533 892 621
161 890 590
334 684 334
437 679 782
413 831 729
382 59 799
9 426 107
701 667 825
574 116 245
273 777 339
118 698 651
723 79 28
549 811 297
387 342 527
687 264 987
762 139 742
640 227 107
175 149 425
12 325 243
357 526 840
568 330 29
24 181 763
73 503 971
688 40 48
405 71 690
74 255 717
48 5 782
724 196 982
592 26 758
208 637 234
512 379 531
588 655 418
267 568 163
532 696 355
